YYMMDD;TIME;LOCATION;DEPTH;MAG;EVALMODE;Latitude;Longitude
20020805;19281016;Gasteren;30;9;manual;53,55;6,657
20020829;21132274;Luddeweer;30;0;manual;53,247;6,747
20020905;2145;Beerze;30;9;manual;52,508;6,563
20020906;6070550;Borgercompagnie;30;6;manual;53,112;6,842
20020922;7133343;Schipborg;30;6;manual;53,56;6,68
20020922;7301381;Taarlo;30;5;manual;53,35;6,638
20021012;2321363;Borgercompagnie;30;9;manual;53,106;6,815
20021014;23452251;Roswinkel;20;9;manual;52,834;7,45
20021019;18033943;Nieuw Annerveen;18;13;manual;53,68;6,768
20021214;132462;Dalerveen;30;14;manual;52,676;6,832
20021216;12233909;Zuidlaren;30;14;manual;53,92;6,718
20021217;231874;Tjuchem;30;9;manual;53,291;6,86
20021218;20310915;Zuidbroek;30;8;manual;53,175;6,847
20021224;2572258;Roswinkel;20;14;manual;52,833;7,42
20030101;19161531;Loppersum;30;10;manual;53,337;6,743
20030113;2454550;Ravenswoud;30;17;manual;52,971;6,413
20030118;18124332;Ten Post;30;10;manual;53,287;6,77
20030123;7461666;Garrelsweer;30;16;manual;53,307;6,752
20030130;1273024;Leermens;30;15;manual;53,342;6,793
20030131;15204778;Slochteren;30;3;manual;53,232;6,782
20030202;9322369;Ekehaar;30;20;manual;52,95;6,588
20030206;19252491;Overschild;30;3;manual;53,259;6,768
20030211;19294956;Zeerijp;30;13;manual;53,352;6,773
20030212;6222002;Hellum;30;8;manual;53,262;6,812
20030214;6542414;Boelenslaan;30;18;manual;53,146;6,122
20030228;21541819;Loppersum;30;7;manual;53,355;6,73
20030303;20512189;Middelstum;30;22;manual;53,36;6,662
20030306;20151867;Kiel-Windeweer;30;9;manual;53,141;6,753
20030309;5312670;Kantens;30;11;manual;53,372;6,64
20030323;16000310;Uithuizermeeden;30;15;manual;53,457;6,783
20030329;21090144;Lageland;30;4;manual;53,237;6,682
20030401;255209;Krewerd;30;3;manual;53,364;6,852
20030402;20194874;Westeremden;30;19;manual;53,34;6,718
20030405;16494833;Groningen;30;3;manual;53,209;6,63
20030406;75070;Overschild;30;1;manual;53,272;6,795
20030406;572790;Froombosch;30;10;manual;53,205;6,75
20030406;23020437;Froombosch;30;7;manual;53,206;6,763
20030416;16204253;Overschild;30;7;manual;53,281;6,775
20030418;23595500;Slochteren;30;0;manual;53,238;6,753
20030420;193919;Overschild;30;1;manual;53,246;6,75
20030428;21561133;Woltersum;30;10;manual;53,283;6,727
20030429;2550492;Woltersum;30;13;manual;53,284;6,73
20030514;20521591;Siddeburen;30;8;manual;53,254;6,865
20030514;22234652;Hellum;30;8;manual;53,257;6,847
20030521;4570924;Annen;30;11;manual;53,72;6,765
20030523;2595086;Wildervank;30;6;manual;53,84;6,823
20030531;23122573;Siddeburen;30;8;manual;53,247;6,875
20030603;16153891;Westeremden;30;15;manual;53,337;6,683
20030606;14271647;Harkstede;30;7;manual;53,225;6,682
20030608;5304724;Froombosch;30;10;manual;53,192;6,788
20030608;8141655;Woltersum;30;15;manual;53,271;6,737
20030616;441712;Ravenswoud;26;23;manual;52,963;6,407
20030805;18450849;Assen;30;11;manual;52,975;6,558
20030807;8242112;Zeerijp;30;17;manual;53,349;6,758
20030807;10563985;Zeerijp;30;13;manual;53,345;6,748
20030820;8461499;Borgercompagnie;30;5;manual;53,106;6,815
20030825;4245500;Kiel-Windeweer;30;7;manual;53,108;6,792
20030825;10053589;Hoogezand;30;9;manual;53,108;6,795
20030922;17501150;Uithuizen;30;24;manual;53,395;6,688
20030927;13575415;Westeremden;30;27;manual;53,348;6,697
20031011;11440834;Roswinkel;20;16;manual;52,835;7,55
20031024;1524116;Garrelsweer;30;30;manual;53,295;6,792
20031026;9170014;Garrelsweer;30;12;manual;53,304;6,788
20031029;14300926;Froombosch;30;10;manual;53,192;6,783
20031110;223803;Stedum;30;30;manual;53,325;6,69
20031110;2405501;Westeremden;30;14;manual;53,349;6,71
20031116;20041148;Westeremden;30;27;manual;53,344;6,702
20031226;10095893;Wirdum;30;14;manual;53,32;6,802
20031226;17051076;Oud Annerveen;30;-6;manual;53,84;6,755
20031228;4291829;Oud Annerveen;30;-3;manual;53,8;6,762
20031229;13095931;Delfzijl;30;15;manual;53,343;6,938
20040112;1054791;Kolham;30;16;manual;53,189;6,745
20040124;13534454;Woltersum;30;10;manual;53,271;6,72
20040130;11474099;Appingedam;30;12;manual;53,314;6,868
20040307;7183045;Veendam;30;2;manual;53,103;6,845
20040308;1411641;Meedhuizen;30;4;manual;53,292;6,895
20040316;23494124;Veendam;30;10;manual;53,9;6,88
20040321;17054458;Wagenborgen;30;14;manual;53,255;6,918
20040326;2324552;Siddeburen;30;5;manual;53,273;6,862
20040415;4502362;Eexterzandvoort;30;10;manual;53,41;6,8
20040430;22124389;Scharmer;30;5;manual;53,23;6,712
20040524;5031344;Wetsinge;30;14;manual;53,31;6,525
20040529;21064227;Winsum;30;8;manual;53,308;6,508
20040531;591996;Winsum;30;3;manual;53,313;6,518
20040610;1132672;Zandeweer;30;21;manual;53,391;6,663
20040621;23320276;Geelbroek;30;28;manual;52,944;6,568
20040727;22494594;Appingedam;30;12;manual;53,343;6,875
20040821;1063282;Sappemeer;30;18;manual;53,163;6,793
20040822;2560113;Ekehaar;30;10;manual;52,946;6,585
20040906;20312028;Roswinkel;20;10;manual;52,834;7,48
20040910;1564491;Schipborg;30;4;manual;53,64;6,67
20040918;3331238;Uithuizermeeden;30;12;manual;53,416;6,703
20040922;12443300;Winneweer;30;15;manual;53,311;6,743
20041008;13234272;Wildervank;25;13;manual;53,76;6,833
20041030;11405288;'t Zandt;30;14;manual;53,356;6,778
20041031;17272188;Marwijksoord;30;9;manual;52,952;6,633
20041113;12155732;Overschild;30;12;manual;53,291;6,802
20041123;22131036;Borgercompagnie;30;3;manual;53,116;6,82
20041124;18185795;Ten Post;30;19;manual;53,289;6,753
20041125;14255443;Froombosch;30;6;manual;53,194;6,772
20041126;6580152;Loppersum;30;16;manual;53,314;6,737
20041216;21143020;Harkstede;30;8;manual;53,231;6,652
20050109;23593853;Wirdum;30;17;manual;53,323;6,797
20050117;5558;Appingedam;30;11;manual;53,317;6,808
20050130;2313404;Ten Boer;30;10;manual;53,277;6,692
20050208;13203386;Middelstum;30;23;manual;53,316;6,638
20050215;19211101;Ekehaar;30;10;manual;52,955;6,605
20050216;10461786;Roodeschool;30;13;manual;53,404;6,793
20050218;11262987;Zuidlaren;30;6;manual;53,81;6,673
20050218;12554658;Loppersum;30;13;manual;53,34;6,735
20050218;18492565;Woudbloem;30;5;manual;53,231;6,75
20050218;22055217;Lageland;30;16;manual;53,239;6,727
20050220;6032465;Sappemeer;30;0;manual;53,176;6,795
20050225;3460986;Oosterwijtwerd;30;16;manual;53,336;6,812
20050301;16315941;Delfzijl;30;12;manual;53,326;6,922
20050308;23005853;Wagenborgen;30;9;manual;53,261;6,915
20050310;2043978;Oosterwijtwerd;30;20;manual;53,342;6,81
20050321;10583393;Overschild;30;9;manual;53,257;6,767
20050321;23211998;Buren;30;18;manual;53,457;5,85
20050402;23210874;Overschild;30;12;manual;53,27;6,798
20050418;19111659;Schildwolde;30;10;manual;53,264;6,803
20050421;20492164;Tjuchem;30;9;manual;53,291;6,885
20050422;144967;Appingedam;30;8;manual;53,334;6,858
20050430;19280272;Huizinge;30;10;manual;53,359;6,7
20050517;8501419;Siddeburen;30;10;manual;53,232;6,893
20050525;21334622;Noordbroek;30;11;manual;53,194;6,85
20050528;19575764;Morra;30;14;manual;53,374;6,88
20050530;15364587;Westeremden;30;23;manual;53,343;6,71
20050622;16020205;Oosterwijtwerd;30;15;manual;53,33;6,818
